District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Anuradhapura,0,10/4/2008,10,2008,41,10/10/2008
Badulla,0,10/4/2008,10,2008,41,10/10/2008
Batticaloa,0,10/4/2008,10,2008,41,10/10/2008
Colombo,23,10/4/2008,10,2008,41,10/10/2008
Galle,1,10/4/2008,10,2008,41,10/10/2008
Gampaha,11,10/4/2008,10,2008,41,10/10/2008
Hambantota,0,10/4/2008,10,2008,41,10/10/2008
Jaffna,0,10/4/2008,10,2008,41,10/10/2008
Kalmunai,0,10/4/2008,10,2008,41,10/10/2008
Kalutara,4,10/4/2008,10,2008,41,10/10/2008
Kandy,6,10/4/2008,10,2008,41,10/10/2008
Kegalle,6,10/4/2008,10,2008,41,10/10/2008
Kilinochchi,0,10/4/2008,10,2008,41,10/10/2008
Kurunegala,5,10/4/2008,10,2008,41,10/10/2008
Mannar,0,10/4/2008,10,2008,41,10/10/2008
Matale,7,10/4/2008,10,2008,41,10/10/2008
Matara,5,10/4/2008,10,2008,41,10/10/2008
Monaragala,1,10/4/2008,10,2008,41,10/10/2008
Mullaitivu,0,10/4/2008,10,2008,41,10/10/2008
Nuwara Eliya,1,10/4/2008,10,2008,41,10/10/2008
Polonnaruwa,0,10/4/2008,10,2008,41,10/10/2008
Puttalam,0,10/4/2008,10,2008,41,10/10/2008
Ratnapura,3,10/4/2008,10,2008,41,10/10/2008
Trincomalee,0,10/4/2008,10,2008,41,10/10/2008
Vavuniya,0,10/4/2008,10,2008,41,10/10/2008
Ampara,0,10/11/2008,10,2008,42,10/17/2008
Anuradhapura,1,10/11/2008,10,2008,42,10/17/2008
Badulla,3,10/11/2008,10,2008,42,10/17/2008
Batticaloa,1,10/11/2008,10,2008,42,10/17/2008
Colombo,14,10/11/2008,10,2008,42,10/17/2008
Galle,0,10/11/2008,10,2008,42,10/17/2008
Gampaha,9,10/11/2008,10,2008,42,10/17/2008
Hambantota,2,10/11/2008,10,2008,42,10/17/2008
Jaffna,3,10/11/2008,10,2008,42,10/17/2008
Kalmunai,0,10/11/2008,10,2008,42,10/17/2008
Kalutara,5,10/11/2008,10,2008,42,10/17/2008
Kandy,9,10/11/2008,10,2008,42,10/17/2008
