District,split,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total,ljung_box_stat_lag26,ljung_box_pvalue_lag26,ljung_box_stat_lag52,ljung_box_pvalue_lag52
Hambantota,validation,9,20.856100288632536,18.601661281020974,74.52664333530431,1.448318133709434,52,52,,,,
Hambantota,validation,10,21.63738125797603,16.49929346096991,47.40629247478469,1.0341540876130249,52,52,,,,
Hambantota,validation,11,31.80594021506433,30.198856986893915,148.004198970133,1.8334493944214754,51,52,,,,
Hambantota,validation,12,21.218159316209455,8.370507672749058,101.81867244537474,0.47366952524679357,51,52,,,,
Hambantota,validation,13,25.26642261950729,15.556368989502989,58.507526750035154,0.9058678140633587,51,52,,,,
Hambantota,validation,14,25.070729583186324,18.411362298191158,74.3015338786295,1.049788526702203,52,52,,,,
Hambantota,validation_aggregate,aggregate,16.69516844852707,9.049979629063404,78.92824640318847,0.9628110074446298,724,728,3516.038104600924,0.0,3720.940515859157,0.0
Hambantota,holdout,holdout,30.803548358348397,17.030411330723567,67.02474350307229,0.950669838518095,104,104,,,,
Jaffna,validation,1,62.6132934344345,30.20040215232211,87.52362803143009,15.173148907446857,52,52,,,,
Jaffna,validation,2,27.733844679346568,20.704856455159874,124.22153892802159,1.5307855957369385,52,52,,,,
Jaffna,validation,3,18.366221511692068,12.022953017287936,96.91626980111361,0.6614055084887306,52,52,,,,
Jaffna,validation,4,27.816295511953957,26.51311948130888,105.16286090562372,1.5785232574170618,52,52,,,,
Jaffna,validation,5,28.305748871229998,17.288646059510203,53.45095116626124,1.0719510275371986,52,52,,,,
Jaffna,validation,6,75.09292324366847,69.37583055200928,115.15826407509928,4.057326851049385,51,52,,,,
Jaffna,validation,7,54.48436096879517,51.26955245179146,88.27208873623756,2.8563383363529944,52,52,,,,
