District,Year,Week,actual,is_reporting_anomaly,n_sarima_vintages,single_sarima,single_final,single_abs_error,mean_sarima,mean_final,mean_abs_error,median_sarima,median_final,median_abs_error,trimmed_mean_sarima,trimmed_mean_final,trimmed_mean_abs_error
Colombo,2026,16,240.0,False,4,147.5810127291201,150.2,89.80000000000001,165.87202870462917,168.5,71.5,210.6774740964214,213.3,26.69999999999999,210.6774740964214,213.3,26.69999999999999
Colombo,2026,17,279.0,False,4,179.90796137845467,244.6,34.400000000000006,144.25448256740674,208.9,70.1,157.78717687271916,222.5,56.5,157.78717687271916,222.5,56.5
Colombo,2026,18,300.0,False,4,220.9159126429821,301.7,1.6999999999999886,131.47456623728868,212.3,87.69999999999999,154.97208317903235,235.7,64.30000000000001,154.97208317903235,235.7,64.30000000000001
Colombo,2026,19,328.0,False,4,254.03050493470585,372.2,44.19999999999999,190.27590966298774,308.4,19.600000000000023,193.70565304686863,311.9,16.100000000000023,193.70565304686863,311.9,16.100000000000023
Colombo,2026,20,308.0,False,4,286.36696028532765,418.7,110.69999999999999,227.4185972705303,359.8,51.80000000000001,231.65156631720674,364.0,56.0,231.65156631720674,364.0,56.0
Colombo,2026,21,358.0,False,4,293.5781657269641,428.3,70.30000000000001,258.1116743291484,392.8,34.80000000000001,265.2094320746393,399.9,41.89999999999998,265.2094320746393,399.9,41.89999999999998
Colombo,2026,22,398.0,False,4,324.9652222751806,493.2,95.19999999999999,285.7317952148865,454.0,56.0,286.94731736653097,455.2,57.19999999999999,286.94731736653097,455.2,57.19999999999999
Colombo,2026,23,507.0,False,4,358.71291984068705,509.7,2.6999999999999886,312.1614568700437,492.4,14.600000000000023,306.46083750544733,486.7,20.30000000000001,306.46083750544733,486.7,20.30000000000001
Colombo,2026,24,20.0,True,4,427.3710576166854,653.8,633.8,345.37373781590406,571.8,551.8,337.68529511492756,564.1,544.1,337.68529511492756,564.1,544.1
Colombo,2026,25,1138.0,False,4,82.90459254749054,44.1,1093.9,251.19903204271736,190.8,947.2,337.47585636348686,249.9,888.1,337.47585636348686,249.9,888.1
Galle,2026,2,128.0,False,4,71.70234620969474,111.2,16.799999999999997,73.8159517402772,113.3,14.700000000000003,73.1979987648194,112.7,15.299999999999997,73.1979987648194,112.7,15.299999999999997
Galle,2026,3,148.0,False,4,94.83829338353505,179.3,31.30000000000001,80.06766600272788,164.3,16.30000000000001,77.73205553188726,161.9,13.900000000000006,77.73205553188726,161.9,13.900000000000006
Galle,2026,4,129.0,False,4,117.5787903567315,231.0,102.0,89.68603921404996,204.8,75.80000000000001,87.57336559656503,202.7,73.69999999999999,87.57336559656503,202.7,73.69999999999999
Galle,2026,5,116.0,False,4,122.96177685978105,225.6,109.6,99.59944311078027,204.5,88.5,105.60388782438064,209.1,93.1,105.60388782438064,209.1,93.1
Galle,2026,6,133.0,False,4,119.55263680276289,195.6,62.599999999999994,113.15702663315051,189.2,56.19999999999999,118.56164036339594,194.6,61.599999999999994,118.56164036339594,194.6,61.599999999999994
Galle,2026,7,126.0,False,4,125.86154484465925,230.1,104.1,121.44762883061973,226.3,100.30000000000001,121.24532327742567,226.1,100.1,121.24532327742567,226.1,100.1
Galle,2026,8,109.0,False,4,125.92830699256061,222.5,113.5,123.54842714563704,220.1,111.1,124.40327951900125,221.0,112.0,124.40327951900125,221.0,112.0
Galle,2026,9,98.0,False,4,117.46110125281471,191.6,93.6,122.14314490201936,195.7,97.69999999999999,122.6668659742601,196.2,98.19999999999999,122.6668659742601,196.2,98.19999999999999
Galle,2026,10,90.0,False,4,107.63831792871778,174.2,84.19999999999999,118.98081850344288,185.3,95.30000000000001,121.58938905521829,187.9,97.9,121.58938905521829,187.9,97.9
Galle,2026,11,114.0,False,4,98.7388220200931,158.6,44.599999999999994,111.97838962476024,170.7,56.69999999999999,112.44344308989083,171.1,57.099999999999994,112.44344308989083,171.1,57.099999999999994
Galle,2026,12,89.0,False,4,105.82972519291103,178.0,89.0,107.21283775541193,179.4,90.4,106.73022625867365,178.9,89.9,106.73022625867365,178.9,89.9
Galle,2026,13,114.0,False,4,97.35212246670223,158.7,44.69999999999999,102.2953517253288,163.7,49.69999999999999,102.22340309964213,163.6,49.599999999999994,102.22340309964213,163.6,49.599999999999994
Galle,2026,14,170.0,False,4,105.05682586333315,175.8,5.800000000000011,101.67617390579174,172.4,2.4000000000000057,101.84932123645251,172.6,2.5999999999999943,101.84932123645251,172.6,2.5999999999999943
