horizon,District,split,approach,n,mae,mase,smape_pct
2,Monaragala,holdout,direct,101,6.197371738216262,0.48258633739388407,35.61837000600887
2,Monaragala,all,sarima_alone,773,5.637019297324669,0.4389519640623548,64.30851251848824
2,Monaragala,all,recursive,773,5.965717981888745,0.46454757152152926,65.61998489552512
2,Monaragala,all,direct,773,5.917254670706552,0.4607737569386193,65.16213693760152
2,Mullaitivu,pre_holdout,sarima_alone,672,1.9762613625502454,0.6974187200195657,135.4911139784249
2,Mullaitivu,pre_holdout,recursive,672,2.0992559523809526,0.7408232671278343,102.33889285249664
2,Mullaitivu,pre_holdout,direct,672,1.9666622591051803,0.6940312154289008,116.68776058562102
2,Mullaitivu,holdout,sarima_alone,101,1.1458161436246348,0.4043562473099408,97.18256972314768
2,Mullaitivu,holdout,recursive,101,1.2732673267326733,0.4493335173576052,92.88481693927314
2,Mullaitivu,holdout,direct,101,1.113447443804458,0.3929333972633487,87.48048337354068
2,Mullaitivu,all,sarima_alone,773,1.8677555836220614,0.659127245577558,130.4857285065193
2,Mullaitivu,all,recursive,773,1.991332470892626,0.7027372842988652,101.10362549514143
2,Mullaitivu,all,direct,773,1.855181410016729,0.6546898446207239,112.87154454626769
2,Nuwara Eliya,pre_holdout,sarima_alone,672,3.321658721847593,0.5773144878802863,73.45740785227102
2,Nuwara Eliya,pre_holdout,recursive,672,3.3752976190476187,0.5866370929582311,74.87029446283108
2,Nuwara Eliya,pre_holdout,direct,672,3.2155235543262535,0.5588678697853398,70.36663795598098
2,Nuwara Eliya,holdout,sarima_alone,101,4.3945744918820635,0.7637905440271987,53.44621991430215
2,Nuwara Eliya,holdout,recursive,101,5.510891089108911,0.9578097972398866,67.42663828137098
2,Nuwara Eliya,holdout,direct,101,4.349073991081402,0.7558824172394414,51.71801814385223
2,Nuwara Eliya,all,sarima_alone,773,3.4618456465222134,0.6016794059538155,70.84275069608104
2,Nuwara Eliya,all,recursive,773,3.6543337645536873,0.635134432068771,73.89770807948378
2,Nuwara Eliya,all,direct,773,3.3636329904352698,0.5846097446790839,67.93001363382703
2,Polonnaruwa,pre_holdout,sarima_alone,672,4.431169898865838,0.5890265915032384,80.58825420717977
2,Polonnaruwa,pre_holdout,recursive,672,4.838095238095238,0.6431183665949453,80.72274524099599
2,Polonnaruwa,pre_holdout,direct,672,4.339243801845686,0.5768070384656003,78.95960211011894
2,Polonnaruwa,holdout,sarima_alone,101,3.8702317259601307,0.5144621970946035,47.34536171088102
2,Polonnaruwa,holdout,recursive,101,3.9534653465346534,0.5255262765464055,51.04150368616393
2,Polonnaruwa,holdout,direct,101,3.7745764969118696,0.5017469379617546,45.72477317869095
2,Polonnaruwa,all,sarima_alone,773,4.357877847813476,0.5792840250927959,76.24474561451979
2,Polonnaruwa,all,recursive,773,4.722509702457956,0.6277538114915785,76.84460113098557
2,Polonnaruwa,all,direct,773,4.265464503270891,0.566999703212187,74.61714710096727
2,Puttalam,pre_holdout,sarima_alone,672,15.612288444465868,0.4727124979093594,67.52950556915765
2,Puttalam,pre_holdout,recursive,672,16.058035714285715,0.4862089373392566,70.81132612901743
2,Puttalam,pre_holdout,direct,672,15.805476778218292,0.4785618991768223,65.78373559812228
2,Puttalam,holdout,sarima_alone,101,5.512087123878975,0.1668962549783323,31.78161820134044
2,Puttalam,holdout,recursive,101,6.103960396039603,0.18481713146764756,35.22102965396206
2,Puttalam,holdout,direct,101,5.045608578533137,0.1527721091699886,28.715887266379912
2,Puttalam,all,sarima_alone,773,14.292598491840671,0.4327546188200531,62.85869492989564
2,Puttalam,all,recursive,773,14.757438551099613,0.44682915416586394,66.16110627910722
2,Puttalam,all,direct,773,14.399594904779482,0.4359942810776112,60.94045916667857
2,Ratnapura,pre_holdout,sarima_alone,672,20.7794804610784,0.5365829227346707,50.315435226414436
2,Ratnapura,pre_holdout,recursive,672,23.400892857142853,0.6042749484235632,60.71062859450682
2,Ratnapura,pre_holdout,direct,672,19.628512790511337,0.506861794826647,48.89437649510477
2,Ratnapura,holdout,sarima_alone,101,22.53743832791852,0.5819781948638432,28.5735359841218
2,Ratnapura,holdout,recursive,101,24.9039603960396,0.643088256321203,34.63048472289373
2,Ratnapura,holdout,direct,101,21.81742334969698,0.5633854421648278,29.17275989825
2,Ratnapura,all,sarima_alone,773,21.009174826603434,0.542514258420371,47.474643734213196
2,Ratnapura,all,recursive,773,23.597283311772312,0.6093462861954412,57.30300306923783
2,Ratnapura,all,direct,773,19.914515334467026,0.5142471614258142,46.31755466291546
2,Trincomalee,pre_holdout,sarima_alone,672,13.503862721898278,0.5394815589064013,79.23141541521973
2,Trincomalee,pre_holdout,recursive,672,11.811755952380953,0.47188161238332543,81.07184864749529
2,Trincomalee,pre_holdout,direct,672,12.277645323843434,0.4904939701635126,74.98459992110638
2,Trincomalee,holdout,sarima_alone,101,6.007458448786393,0.23999896294570222,39.97163592106167
2,Trincomalee,holdout,recursive,101,5.747524752475249,0.22961456859971716,41.261221210749476
2,Trincomalee,holdout,direct,101,5.633278805100215,0.22505042402435244,37.172414095100635
2,Trincomalee,all,sarima_alone,773,12.524384285178613,0.5003512326553914,74.10174176850568
2,Trincomalee,all,recursive,773,11.01940491591203,0.44022705685661845,75.87020133687263
2,Trincomalee,all,direct,773,11.409493941704929,0.45581117823588624,70.0440685259879
2,Vavuniya,pre_holdout,sarima_alone,672,3.700694440127034,0.43827010358269197,105.3308445280214
2,Vavuniya,pre_holdout,recursive,672,3.6215773809523806,0.4289003373724228,99.52735028048882
2,Vavuniya,pre_holdout,direct,672,3.626240330974172,0.42945256658834835,105.04290970430283
2,Vavuniya,holdout,sarima_alone,101,2.216476602984526,0.26249544405652026,114.45435727699468
2,Vavuniya,holdout,recursive,101,2.302970297029703,0.272738818877579,101.97709762151179
2,Vavuniya,holdout,direct,101,2.090469468001143,0.24757252594079768,87.12169937236085
2,Vavuniya,all,sarima_alone,773,3.506766883139462,0.4153034274997122,106.5229205793103
2,Vavuniya,all,recursive,773,3.449288486416559,0.4084963097295002,99.84743369762117
2,Vavuniya,all,direct,773,3.42557686763617,0.4056881628297422,102.70132853544625
3,Ampara,pre_holdout,sarima_alone,672,17.652223809241747,0.641729245880529,71.36427860344722
3,Ampara,pre_holdout,recursive,672,16.470089285714284,0.5987539072200567,70.83757911170466
3,Ampara,pre_holdout,direct,672,17.06600180375325,0.6204177210796851,69.45200187239786
3,Ampara,holdout,sarima_alone,101,8.19196265259504,0.2978107502001522,45.67131888919004
3,Ampara,holdout,recursive,101,8.85148514851485,0.321787042282189,49.33908699562405
3,Ampara,holdout,direct,101,8.161846915268082,0.29671592217095816,44.57047652969627
3,Ampara,all,sarima_alone,773,16.416148289421155,0.5967929353194449,68.00724247001907
3,Ampara,all,recursive,773,15.47464424320828,0.5625654811414997,68.02859113793474
3,Ampara,all,direct,773,15.902586999436298,0.578122919411145,66.20098756500735
3,Anuradhapura,pre_holdout,sarima_alone,672,7.879069108734822,0.5645932575495641,67.89511800673054
3,Anuradhapura,pre_holdout,recursive,672,7.429017857142856,0.5323437749401436,69.07792054834646
3,Anuradhapura,pre_holdout,direct,672,7.709477132407944,0.5524407449814854,65.42384718189692
3,Anuradhapura,holdout,sarima_alone,101,5.508783065402537,0.39474482747986894,50.681434483774645
3,Anuradhapura,holdout,recursive,101,5.204950495049506,0.37297298891900366,49.741604927096475
3,Anuradhapura,holdout,direct,101,4.801357322528853,0.34405256940579193,44.41337688976072
3,Anuradhapura,all,sarima_alone,773,7.569368086255442,0.5424009012273918,65.6459821259821
3,Anuradhapura,all,recursive,773,7.1384217335058215,0.5115204251495419,66.55144205190886
3,Anuradhapura,all,direct,773,7.329502875230985,0.5252127944858255,62.678624026003305
3,Badulla,pre_holdout,sarima_alone,672,12.04588290629338,0.6420021803797359,65.81459256825636
3,Badulla,pre_holdout,recursive,672,12.503869047619048,0.6664111924548213,66.94861290127497
3,Badulla,pre_holdout,direct,672,11.302710797569668,0.6023937832278128,66.00052356472628
3,Badulla,holdout,sarima_alone,101,7.1369975968423445,0.3803762708123178,43.96887277463964
3,Badulla,holdout,recursive,101,7.472277227722771,0.39824546776007236,44.57524035666314
3,Badulla,holdout,direct,101,6.564028801556658,0.3498390973461222,41.37721132933322
3,Badulla,all,sarima_alone,773,11.404489094838588,0.6078181999576023,62.96023590699467
3,Badulla,all,recursive,773,11.846442432082794,0.6313727213110054,64.02531325443694
3,Badulla,all,direct,773,10.683555711415318,0.5693950467801405,62.78324732180947
3,Batticaloa,pre_holdout,sarima_alone,672,20.43971976809933,0.6230950475936101,58.90625334520069
3,Batticaloa,pre_holdout,recursive,672,17.632142857142856,0.5375074128900538,52.809016436944546
3,Batticaloa,pre_holdout,direct,672,17.65653578023409,0.5382510194437112,53.360233668824655
3,Batticaloa,holdout,sarima_alone,101,13.0854461873849,0.3989035469868578,42.41700970268629
3,Batticaloa,holdout,recursive,101,12.642574257425746,0.3854028087474591,38.71506550579056
3,Batticaloa,holdout,direct,101,11.695702300526765,0.35653787156912087,37.01666684397149
3,Batticaloa,all,sarima_alone,773,19.478812094551905,0.5938022383293384,56.75177261053839
