District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,is_imputed,is_reporting_anomaly,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),climate_data_source,Estimated_Population,Source_Type,cases_per_100k,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rolling_mean_cases_4w,rolling_std_cases_4w,rate_of_change,weeks_since_reporting_anomaly,reporting_rebound_ratio_lag1,suspected_backfill_week,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_4,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,sin_week,cos_week,monsoon_indicator_SW,monsoon_indicator_NE
Colombo,2011,26,2011-06-25,2011-07-01,475.0,False,False,24.0,24.0,85.71428571428571,93.14285714285714,76.0,29.12857142857143,25.285714285714285,31.87142857142857,34.385714285714286,30.185714285714287,27.0,observed,2317706,interpolated,20.49440265503908,306.0,384.0,99.0,235.0,256.0,121.07022755409358,-78.0,,,0,51.8,40.1,82.0,47.3,18.5,31.7,41.2,27.27142857142857,26.6,26.65714285714285,26.61428571428572,83.28571428571429,87.71428571428571,89.42857142857143,86.42857142857143,-3.216245299353273e-16,-1.0,1,0
Colombo,2011,27,2011-07-02,2011-07-08,301.0,False,False,41.6,41.6,87.0,94.57142857142856,78.28571428571429,28.985714285714288,24.87142857142857,31.685714285714287,34.55714285714286,29.81428571428572,26.65714285714285,observed,2317706,interpolated,12.986979366666867,475.0,306.0,384.0,99.0,316.0,160.3059574688352,169.0,,,0,17.4,51.8,40.1,82.0,47.3,18.5,31.7,27.0,27.27142857142857,26.6,26.65714285714285,85.71428571428571,83.28571428571429,87.71428571428571,89.42857142857143,-0.12053668025532283,-0.992708874098054,1,0
Colombo,2011,28,2011-07-09,2011-07-15,161.0,False,False,85.5,85.5,88.28571428571429,93.28571428571428,82.14285714285714,28.2,24.885714285714283,30.885714285714283,33.32857142857143,29.457142857142856,26.25714285714286,observed,2317706,interpolated,6.94652384728693,301.0,475.0,306.0,384.0,366.5,81.70883265188247,-174.0,,,0,24.0,17.4,51.8,40.1,82.0,47.3,18.5,26.65714285714285,27.0,27.27142857142857,26.6,87.0,85.71428571428571,83.28571428571429,87.71428571428571,-0.23931566428755743,-0.9709418174260521,1,0
Colombo,2011,29,2011-07-16,2011-07-22,341.0,False,False,65.7,65.7,87.28571428571429,94.0,78.0,28.357142857142858,24.5,30.75714285714286,33.32857142857143,28.928571428571427,26.214285714285715,observed,2317706,interpolated,14.71282380077542,161.0,301.0,475.0,306.0,310.75,128.47924605424282,-140.0,,,0,41.6,24.0,17.4,51.8,40.1,82.0,47.3,26.25714285714286,26.65714285714285,27.0,27.27142857142857,88.28571428571429,87.0,85.71428571428571,83.28571428571429,-0.3546048870425356,-0.9350162426854148,1,0
Colombo,2011,30,2011-07-23,2011-07-29,277.0,False,False,73.5,73.5,88.14285714285714,93.28571428571428,79.14285714285714,28.25714285714286,24.642857142857142,30.585714285714285,33.07142857142857,29.042857142857144,26.042857142857144,observed,2317706,interpolated,11.951472706201736,341.0,161.0,301.0,475.0,319.5,129.23750745558866,180.0,,,0,85.5,41.6,24.0,17.4,51.8,40.1,82.0,26.214285714285715,26.25714285714286,26.65714285714285,27.0,87.28571428571429,88.28571428571429,87.0,85.71428571428571,-0.46472317204376806,-0.8854560256532101,1,0
Colombo,2011,31,2011-07-30,2011-08-05,130.0,False,False,32.900000000000006,32.900000000000006,87.14285714285714,92.85714285714286,78.0,28.47142857142857,24.942857142857143,30.985714285714288,33.971428571428575,29.285714285714285,26.385714285714283,observed,2317706,interpolated,5.6089944108528,277.0,341.0,161.0,301.0,270.0,77.31321577410512,-64.0,,,0,65.7,85.5,41.6,24.0,17.4,51.8,40.1,26.042857142857144,26.214285714285715,26.25714285714286,26.65714285714285,88.14285714285714,87.28571428571429,88.28571428571429,87.0,-0.5680647467311556,-0.8229838658936566,1,0
Colombo,2011,32,2011-08-06,2011-08-12,149.0,False,False,55.0,55.0,86.71428571428571,92.57142857142856,78.71428571428571,28.342857142857145,24.77142857142857,30.885714285714283,33.75714285714286,29.3,26.31428571428572,observed,2317706,interpolated,6.428770517054364,130.0,277.0,341.0,161.0,227.25,98.76023153746318,-147.0,,,0,73.5,65.7,85.5,41.6,24.0,17.4,51.8,26.385714285714283,26.042857142857144,26.214285714285715,26.25714285714286,87.14285714285714,88.14285714285714,87.28571428571429,88.28571428571429,-0.663122658240795,-0.7485107481711013,1,0
Colombo,2011,33,2011-08-13,2011-08-19,135.0,False,False,68.2,68.2,87.14285714285714,94.42857142857144,78.28571428571429,28.4,24.428571428571427,31.057142857142857,33.785714285714285,29.228571428571428,26.2,observed,2317706,interpolated,5.82472496511637,149.0,130.0,277.0,341.0,224.25,101.58534999365479,19.0,,,0,32.900000000000006,73.5,65.7,85.5,41.6,24.0,17.4,26.31428571428572,26.385714285714283,26.042857142857144,26.214285714285715,86.71428571428571,87.14285714285714,88.14285714285714,87.28571428571429,-0.7485107481711011,-0.6631226582407952,1,0
Colombo,2011,34,2011-08-20,2011-08-26,97.0,False,False,72.3,72.3,87.71428571428571,93.71428571428572,80.14285714285714,28.27142857142857,24.428571428571427,30.4,33.371428571428574,28.557142857142857,26.014285714285712,observed,2317706,interpolated,4.185172752713243,135.0,149.0,130.0,277.0,172.75,69.96368105429183,-14.0,,,0,55.0,32.900000000000006,73.5,65.7,85.5,41.6,24.0,26.2,26.31428571428572,26.385714285714283,26.042857142857144,87.14285714285714,86.71428571428571,87.14285714285714,88.14285714285714,-0.8229838658936564,-0.5680647467311559,1,0
Colombo,2011,35,2011-08-27,2011-09-02,178.0,False,False,61.0,61.0,86.14285714285714,91.85714285714286,76.57142857142857,28.62857142857143,24.9,30.714285714285715,34.05714285714286,29.12857142857143,26.3,observed,2317706,interpolated,7.680007731783064,97.0,135.0,149.0,130.0,127.75,22.0208234783959,-38.0,,,0,68.2,55.0,32.900000000000006,73.5,65.7,85.5,41.6,26.014285714285712,26.2,26.31428571428572,26.385714285714283,87.71428571428571,87.14285714285714,86.71428571428571,87.14285714285714,-0.8854560256532096,-0.4647231720437691,1,0
