District,Year,Week,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code)
Kalutara,2021,17,32.8,32.8,86.14285714285714,95.14285714285714,76.14285714285714,29.142857142857142,24.728571428571428,32.385714285714286,35.32857142857143,29.900000000000002,26.914285714285715,51
Kalutara,2021,18,18.299999999999997,18.299999999999997,85.42857142857143,95.42857142857143,73.0,30.085714285714285,24.885714285714283,33.24285714285714,36.92857142857143,30.285714285714285,27.400000000000002,51
Kalutara,2021,19,84.2,84.2,86.85714285714286,96.85714285714286,71.28571428571429,30.228571428571428,24.25714285714286,32.357142857142854,37.15714285714286,29.057142857142857,26.74285714285714,61
Kalutara,2021,20,121.80000000000001,121.80000000000001,87.85714285714286,95.71428571428571,75.71428571428571,29.62857142857143,24.557142857142857,32.08571428571428,36.08571428571428,29.228571428571428,26.74285714285714,63
Kalutara,2021,21,35.8,35.8,84.42857142857143,93.71428571428571,73.71428571428571,29.985714285714288,25.714285714285715,33.457142857142856,36.4,30.942857142857143,27.82857142857143,51
Kalutara,2021,22,134.6,134.6,83.28571428571429,92.28571428571429,74.57142857142857,28.914285714285715,25.642857142857142,30.67142857142857,32.614285714285714,29.0,27.285714285714285,63
Kalutara,2021,23,72.30000000000001,72.30000000000001,84.14285714285714,89.28571428571429,78.57142857142857,28.714285714285715,26.228571428571428,31.7,33.82857142857143,30.285714285714285,27.271428571428572,53
Kalutara,2021,24,77.10000000000001,77.10000000000001,84.57142857142857,91.42857142857143,76.85714285714286,28.7,25.32857142857143,31.099999999999998,33.4,29.599999999999998,26.814285714285713,53
Kalutara,2021,25,35.7,35.7,81.71428571428571,89.28571428571429,73.85714285714286,29.057142857142857,25.928571428571427,31.457142857142856,33.4,29.985714285714288,27.342857142857145,51
Kalutara,2021,26,42.9,42.9,84.57142857142857,93.28571428571429,75.42857142857143,28.857142857142858,25.12857142857143,31.571428571428573,33.75714285714286,29.74285714285714,26.985714285714288,53
Kalutara,2021,27,51.8,51.8,84.85714285714286,93.28571428571429,76.14285714285714,28.685714285714287,25.02857142857143,31.24285714285714,33.51428571428571,29.142857142857142,26.842857142857145,61
Kalutara,2021,28,133.4,133.4,86.42857142857143,94.42857142857143,78.0,28.62857142857143,24.714285714285715,31.0,33.6,28.685714285714287,26.557142857142857,63
Kalutara,2021,29,27.2,27.2,83.0,91.57142857142857,74.57142857142857,28.87142857142857,25.414285714285715,30.957142857142856,33.1,29.085714285714285,27.12857142857143,51
Kalutara,2021,30,30.8,30.8,82.57142857142857,89.71428571428571,74.85714285714286,28.728571428571428,25.928571428571427,30.928571428571427,32.72857142857143,29.614285714285717,27.24285714285714,51
Kalutara,2021,31,62.3,62.3,85.71428571428571,91.71428571428571,77.14285714285714,28.5,25.24285714285714,30.914285714285715,33.17142857142857,29.17142857142857,26.614285714285717,61
Kalutara,2021,32,37.3,37.3,84.14285714285714,90.71428571428571,77.28571428571429,28.428571428571427,25.599999999999998,31.02857142857143,32.642857142857146,29.7,26.928571428571427,51
Kalutara,2021,33,103.5,103.5,85.85714285714286,93.57142857142857,77.71428571428571,28.12857142857143,24.814285714285713,30.442857142857143,32.18571428571429,28.814285714285713,26.400000000000002,63
Kalutara,2021,34,25.3,25.3,85.42857142857143,92.57142857142857,76.57142857142857,28.47142857142857,24.82857142857143,31.014285714285712,33.45714285714286,28.814285714285713,26.54285714285714,51
Kalutara,2021,35,72.2,72.2,86.57142857142857,95.14285714285714,75.85714285714286,28.45714285714286,24.185714285714287,30.814285714285717,33.82857142857143,28.485714285714288,26.157142857142855,63
Kalutara,2021,36,41.4,41.4,86.57142857142857,93.42857142857143,79.0,28.014285714285712,24.942857142857143,30.75714285714286,32.8,29.142857142857142,26.414285714285715,53
Kalutara,2021,37,51.6,51.6,86.28571428571429,93.28571428571429,77.71428571428571,28.271428571428572,24.728571428571428,30.771428571428572,33.714285714285715,28.728571428571428,26.342857142857145,51
Kalutara,2021,38,65.5,65.5,84.71428571428571,91.42857142857143,76.71428571428571,28.5,25.24285714285714,31.12857142857143,33.67142857142857,29.214285714285715,26.74285714285714,63
Kalutara,2021,39,51.9,51.9,86.0,94.28571428571429,77.28571428571429,29.02857142857143,24.985714285714288,32.128571428571426,35.18571428571429,29.814285714285713,27.0,63
Kalutara,2021,40,100.9,100.9,85.28571428571429,93.0,77.42857142857143,28.157142857142855,24.928571428571427,30.62857142857143,32.65714285714286,28.714285714285715,26.557142857142857,61
Kalutara,2021,41,77.2,77.2,87.85714285714286,94.71428571428571,78.71428571428571,28.185714285714287,24.37142857142857,30.928571428571427,33.57142857142857,28.814285714285713,26.157142857142855,63
Kalutara,2021,42,47.4,47.4,82.57142857142857,91.71428571428571,74.28571428571429,29.228571428571428,25.414285714285715,31.542857142857144,34.142857142857146,29.67142857142857,27.214285714285715,53
Kalutara,2021,43,36.599999999999994,36.599999999999994,81.71428571428571,93.71428571428571,71.14285714285714,29.428571428571427,24.314285714285713,31.25714285714286,34.642857142857146,28.271428571428572,26.914285714285715,51
Kalutara,2021,44,79.8,79.8,87.0,96.0,73.42857142857143,28.442857142857143,23.5,30.3,33.72857142857143,27.87142857142857,25.657142857142855,63
Kalutara,2021,45,86.0,86.0,89.28571428571429,97.57142857142857,77.0,28.17142857142857,23.2,30.157142857142855,33.41428571428572,27.785714285714285,25.357142857142858,61
Kalutara,2021,46,193.4,193.4,87.42857142857143,94.71428571428571,77.14285714285714,27.67142857142857,23.557142857142857,28.900000000000002,31.62857142857143,26.957142857142856,25.25714285714286,63
Kalutara,2021,47,106.1,106.1,86.14285714285714,95.28571428571429,76.71428571428571,28.142857142857142,23.985714285714288,30.357142857142858,32.58571428571429,28.314285714285713,26.0,63
Kalutara,2021,48,71.2,71.2,84.57142857142857,93.85714285714286,71.28571428571429,28.857142857142858,23.24285714285714,29.900000000000002,34.01428571428571,26.985714285714288,25.614285714285717,63
Kalutara,2021,49,63.9,63.9,89.28571428571429,97.14285714285714,77.57142857142857,28.342857142857145,22.771428571428572,30.099999999999998,34.628571428571426,27.0,25.17142857142857,63
