District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases
Ampara,2013,7,2013-02-09,2013-02-15,6
Ampara,2013,8,2013-02-16,2013-02-22,47
Ampara,2013,9,2013-02-23,2013-03-01,26
Ampara,2013,10,2013-03-02,2013-03-08,42
Ampara,2013,11,2013-03-09,2013-03-15,12
Ampara,2013,12,2013-03-16,2013-03-22,1
Ampara,2013,13,2013-03-22,2013-03-29,15
Ampara,2013,14,2013-03-30,2013-04-05,11
Ampara,2013,15,2013-04-06,2013-04-12,1
Ampara,2013,16,2013-04-13,2013-04-19,5
Ampara,2013,17,2013-04-20,2013-04-26,2
Ampara,2013,18,2013-04-27,2013-05-03,2
Ampara,2013,19,2013-05-03,2013-05-10,5
Ampara,2013,20,2013-05-11,2013-05-17,2
Ampara,2013,21,2013-05-18,2013-05-24,6
Ampara,2013,22,2013-05-25,2013-05-31,11
Ampara,2013,23,2013-05-01,2013-05-07,4
Ampara,2013,24,2013-05-08,2013-05-14,3
Ampara,2013,25,2013-05-15,2013-05-21,4
Ampara,2013,26,2013-06-22,2013-06-28,2
Ampara,2013,27,2013-06-29,2013-07-05,5
Ampara,2013,28,2013-07-06,2013-07-12,7
Ampara,2013,29,2013-07-13,2013-07-19,4
Ampara,2013,30,2013-07-20,2013-07-26,6
Ampara,2013,31,2013-07-27,2013-08-02,5
Ampara,2013,32,2013-08-03,2013-08-09,4
Ampara,2013,33,2013-08-10,2013-08-16,1
Ampara,2013,34,2013-08-17,2013-08-23,5
Ampara,2013,35,2013-08-24,2013-08-30,4
Ampara,2013,36,2013-08-31,2013-09-06,0
Ampara,2013,37,2013-09-07,2013-09-13,10
Ampara,2013,38,2013-09-14,2013-09-20,5
Ampara,2013,39,2013-09-21,2013-09-28,9
Ampara,2013,40,2013-09-29,2013-10-04,9
Ampara,2013,41,2013-10-05,2013-10-11,3
Ampara,2013,42,2013-10-12,2013-10-18,0
Ampara,2013,43,2013-10-19,2013-10-25,3
Ampara,2013,44,2013-10-26,2013-11-01,8
Ampara,2013,45,2013-11-02,2013-11-08,7
Ampara,2013,46,2013-11-09,2013-11-15,3
Ampara,2013,47,2013-11-16,2013-11-22,5
Ampara,2013,48,2013-11-23,2013-11-29,4
Ampara,2013,49,2013-11-30,2013-12-06,4
Ampara,2013,50,2013-12-07,2013-12-13,2
Ampara,2013,51,2013-12-14,2013-12-20,5
Ampara,2013,52,2013-12-21,2013-12-27,13
Ampara,2014,1,2014-12-28,2014-01-03,5
Ampara,2014,2,2014-01-04,2014-01-10,0
Ampara,2014,3,2014-01-11,2014-01-17,3
Ampara,2014,4,2014-01-18,2014-01-24,12
Ampara,2014,5,2014-01-25,2014-01-31,1
Ampara,2014,6,2014-02-01,2014-02-07,2
Ampara,2014,7,2014-02-08,2014-02-14,4
Ampara,2014,8,2014-02-15,2014-02-21,8
Ampara,2014,9,2014-02-22,2014-02-28,6
Ampara,2014,10,2014-03-01,2014-03-07,2
Ampara,2014,11,2014-03-08,2014-03-14,8
Ampara,2014,12,2014-03-15,2014-03-21,3
Ampara,2014,13,2014-03-22,2014-03-28,5
Ampara,2014,14,2014-03-29,2014-04-04,3
Ampara,2014,15,2014-04-05,2014-04-11,0
Ampara,2014,16,2014-04-12,2014-04-18,2
Ampara,2014,17,2014-04-19,2014-04-25,6
Ampara,2014,18,2014-04-26,2014-05-02,8
Ampara,2014,19,2014-05-03,2014-05-09,6
Ampara,2014,20,2014-05-10,2014-05-16,2
Ampara,2014,21,2014-05-17,2014-05-23,1
Ampara,2014,22,2014-05-24,2014-05-30,6
Ampara,2014,23,2014-05-31,2014-06-06,10
Ampara,2014,24,2014-06-07,2014-06-13,5
Ampara,2014,25,2014-06-14,2014-06-20,4
Ampara,2014,26,2014-06-21,2014-06-27,10
Ampara,2014,27,2014-06-28,2014-07-04,4
Ampara,2014,28,2014-07-05,2014-07-11,2
Ampara,2014,29,2014-07-12,2014-07-18,1
Ampara,2014,30,2014-07-19,2014-07-25,5
Ampara,2014,31,2014-07-26,2014-08-01,8
Ampara,2014,32,2014-08-02,2014-08-08,1
Ampara,2014,33,2014-08-09,2014-08-15,4
Ampara,2014,34,2014-08-16,2014-08-22,11
Ampara,2014,35,2014-08-23,2014-08-29,2
Ampara,2014,36,2014-08-30,2014-09-05,4
Ampara,2014,37,2014-09-06,2014-09-12,0
Ampara,2014,38,2014-09-13,2014-09-19,6
Ampara,2014,39,2014-09-20,2014-09-26,3
Ampara,2014,40,2014-09-27,2014-10-03,2
Ampara,2014,41,2014-10-04,2014-10-10,4
Ampara,2014,42,2014-10-11,2014-10-17,6
Ampara,2014,43,2014-10-18,2014-10-24,2
Ampara,2014,44,2014-10-25,2014-10-31,2
Ampara,2014,45,2014-11-01,2014-11-07,5
Ampara,2014,46,2014-11-08,2014-11-14,44
Ampara,2014,47,2014-11-15,2014-11-21,83
Ampara,2014,48,2014-11-22,2014-11-28,39
Ampara,2014,49,2014-11-29,2014-12-05,37
Ampara,2014,50,2014-12-06,2014-12-12,29
Ampara,2014,51,2014-12-13,2014-12-19,1
Ampara,2014,52,2014-12-20,2014-12-26,64
Ampara,2015,1,2014-12-27,2015-01-02,42
Ampara,2015,2,2015-01-03,2015-01-09,36
Ampara,2015,3,2015-01-10,2015-01-16,57
Ampara,2015,4,2015-01-17,2015-01-23,45
Ampara,2015,5,2015-01-24,2015-01-30,18
Ampara,2015,6,2015-01-31,2015-02-06,29
Ampara,2015,7,2015-02-07,2015-02-13,19
Ampara,2015,8,2015-02-14,2015-02-20,17
Ampara,2015,9,2015-02-21,2015-02-27,12
Ampara,2015,10,2015-02-28,2015-03-06,11
Ampara,2015,11,2015-03-07,2015-03-13,7
Ampara,2015,12,2015-03-14,2015-03-20,3
Ampara,2015,13,2015-03-21,2015-03-27,2
Ampara,2015,14,2015-03-28,2015-04-03,2
Ampara,2015,15,2015-04-04,2015-04-10,5
Ampara,2015,16,2015-04-11,2015-04-17,1
Ampara,2015,17,2015-04-18,2015-04-24,4
Ampara,2015,18,2015-04-25,2015-05-01,1
Ampara,2015,19,2015-05-02,2015-05-08,5
Ampara,2015,20,2015-05-09,2015-05-15,5
Ampara,2015,21,2015-05-16,2015-05-22,3
Ampara,2015,22,2015-05-23,2015-05-29,3
Ampara,2015,23,2015-05-30,2015-06-05,1
Ampara,2015,24,2015-06-06,2015-06-12,4
Ampara,2015,25,2015-06-13,2015-06-19,5
Ampara,2015,26,2015-06-20,2015-06-26,6
Ampara,2015,27,2015-06-27,2015-07-03,4
Ampara,2015,28,2015-07-04,2015-07-10,3
Ampara,2015,29,2015-07-11,2015-07-17,2
Ampara,2015,31,2015-07-25,2015-07-31,1
Ampara,2015,32,2015-08-01,2015-08-07,4
Ampara,2015,33,2015-08-08,2015-08-14,2
Ampara,2015,34,2015-08-15,2015-08-21,1
Ampara,2015,35,2015-08-22,2015-08-28,1
Ampara,2015,36,2015-08-29,2015-09-04,0
Ampara,2015,37,2015-09-05,2015-09-11,2
Ampara,2015,38,2015-09-12,2015-09-18,4
Ampara,2015,39,2015-09-19,2015-09-25,2
Ampara,2015,40,2015-09-26,2015-10-02,0
Ampara,2015,41,2015-10-03,2015-10-09,4
Ampara,2015,42,2015-10-10,2015-10-16,1
Ampara,2015,43,2015-10-17,2015-10-23,0
Ampara,2015,44,2015-10-24,2015-10-30,0
Ampara,2015,45,2015-10-31,2015-11-06,0
Ampara,2015,46,2015-11-07,2015-11-13,3
Ampara,2015,47,2015-11-14,2015-11-20,5
Ampara,2015,48,2015-11-21,2015-11-27,5
Ampara,2015,49,2015-11-28,2015-12-04,5
Ampara,2015,50,2015-12-05,2015-12-11,8
Ampara,2015,51,2015-12-12,2015-12-18,15
Ampara,2015,52,2015-12-19,2015-12-25,11
Ampara,2016,1,2016-12-26,2016-01-01,22
Ampara,2016,2,2016-01-02,2016-01-08,19
Ampara,2016,3,2016-01-09,2016-01-15,2
Ampara,2016,4,2016-01-16,2016-01-22,5
Ampara,2016,5,2016-01-23,2016-01-29,14
Ampara,2016,6,2016-01-30,2016-02-05,27
Ampara,2016,7,2016-02-06,2016-02-12,24
Ampara,2016,8,2016-02-13,2016-02-19,15
Ampara,2016,9,2016-02-20,2016-02-26,23
Ampara,2016,10,2016-02-27,2016-03-04,13
Ampara,2016,11,2016-03-05,2016-03-11,0
Ampara,2016,12,2016-03-12,2016-03-18,2
Ampara,2016,13,2016-03-19,2016-03-25,6
Ampara,2016,14,2016-03-26,2016-04-01,5
Ampara,2016,15,2016-04-02,2016-04-08,5
Ampara,2016,16,2016-04-09,2016-04-15,5
Ampara,2016,17,2016-04-16,2016-04-22,5
Ampara,2016,18,2016-04-23,2016-04-29,10
Ampara,2016,19,2016-04-30,2016-05-06,8
Ampara,2016,20,2016-05-07,2016-05-13,5
Ampara,2016,21,2016-05-14,2016-05-20,3
Ampara,2016,22,2016-05-21,2016-05-27,3
Ampara,2016,23,2016-05-28,2016-06-03,4
Ampara,2016,24,2016-06-04,2016-06-10,0
Ampara,2016,25,2016-06-11,2016-06-17,5
Ampara,2016,26,2016-06-18,2016-06-24,1
Ampara,2016,27,2016-06-25,2016-07-01,2
Ampara,2016,28,2016-07-02,2016-07-08,2
Ampara,2016,29,2016-07-09,2016-07-15,0
Ampara,2016,30,2016-07-16,2016-07-22,14
Ampara,2016,31,2016-07-23,2016-07-29,7
Ampara,2016,32,2016-07-30,2016-08-05,3
Ampara,2016,33,2016-08-06,2016-08-12,1
Ampara,2016,34,2016-08-13,2016-08-19,3
Ampara,2016,35,2016-08-20,2016-08-26,2
Ampara,2016,36,2016-08-27,2016-09-02,0
Ampara,2016,37,2016-09-03,2016-09-09,2
Ampara,2016,38,2016-09-10,2016-09-16,0
Ampara,2016,39,2016-09-17,2016-09-23,5
Ampara,2016,40,2016-09-24,2016-09-30,1
Ampara,2016,41,2016-10-01,2016-10-07,13
Ampara,2016,42,2016-10-08,2016-10-14,2
Ampara,2016,43,2016-10-15,2016-10-21,2
Ampara,2016,44,2016-10-22,2016-10-28,16
Ampara,2016,45,2016-10-29,2016-11-04,9
Ampara,2016,46,2016-11-05,2016-11-11,7
Ampara,2016,47,2016-11-12,2016-11-18,14
Ampara,2016,48,2016-11-19,2016-11-25,12
Ampara,2016,49,2016-11-26,2016-12-02,9
Ampara,2016,50,2016-12-03,2016-12-09,11
Ampara,2016,51,2016-12-10,2016-12-16,4
Ampara,2016,52,2016-12-17,2016-12-23,21
Ampara,2016,53,2016-12-24,2016-12-30,95
Ampara,2017,1,2016-12-31,2017-01-06,37
Ampara,2017,2,2017-01-07,2017-01-13,37
Ampara,2017,3,2017-01-14,2017-01-20,44
Ampara,2017,4,2017-01-21,2017-01-27,32
Ampara,2017,5,2017-01-28,2017-02-03,14
Ampara,2017,6,2017-02-04,2017-02-10,23
Ampara,2017,7,2017-02-11,2017-02-17,11
Ampara,2017,8,2017-02-18,2017-02-24,5
Ampara,2017,9,2017-02-25,2017-03-03,43
Ampara,2017,10,2017-03-04,2017-03-10,24
Ampara,2017,11,2017-03-11,2017-03-17,94
