split,fold_id,model,variant,smote_applied,n_train,n_train_pos,pr_auc,roc_auc,precision,recall,f1,f2,brier_score,prevalence,n_obs_scored
validation,12,random_forest,smotenc_full_no_weight,True,16798,1869,0.22167675100843418,0.947465195692146,0.15789473684210525,0.5,0.23999999999999996,0.3488372093023256,0.024766402101775924,0.004705882352941176,1275
validation,12,random_forest,smotenc_half_no_weight,True,16798,1869,0.22591780376868098,0.9372209088521146,0.25,0.3333333333333333,0.28571428571428575,0.3125,0.014551710817927041,0.004705882352941176,1275
validation,12,random_forest,smotenc_half_plus_weight,True,16798,1869,0.22456494956494952,0.9490412398213817,0.1875,0.5,0.2727272727272727,0.375,0.023447355225151772,0.004705882352941176,1275
validation,12,xgboost,baseline_class_weight,False,16798,1869,0.16100202589897541,0.8857368006304176,0.13636363636363635,0.5,0.21428571428571427,0.32608695652173914,0.02996882920495252,0.004705882352941176,1275
validation,12,xgboost,smotenc_full_no_weight,True,16798,1869,0.14555799997746277,0.9054373522458629,0.1875,0.5,0.2727272727272727,0.375,0.02308932482481354,0.004705882352941176,1275
validation,12,xgboost,smotenc_half_no_weight,True,16798,1869,0.1612062322618795,0.8766745468873128,0.25,0.3333333333333333,0.28571428571428575,0.3125,0.011794066895157392,0.004705882352941176,1275
validation,12,xgboost,smotenc_half_plus_weight,True,16798,1869,0.1580159421692968,0.8821907013396375,0.1875,0.5,0.2727272727272727,0.375,0.02342233942777277,0.004705882352941176,1275
validation,13,random_forest,baseline_class_weight,False,18073,1875,0.12973034509985426,0.8721688211247376,0.1,0.42857142857142855,0.16216216216216217,0.25862068965517243,0.03399277899915994,0.005384615384615384,1300
validation,13,random_forest,smotenc_full_no_weight,True,18073,1875,0.09226954277981328,0.846757264390675,0.06451612903225806,0.2857142857142857,0.10526315789473685,0.1694915254237288,0.03396316313773578,0.005384615384615384,1300
validation,13,random_forest,smotenc_half_no_weight,True,18073,1875,0.20548041273332454,0.8488564799469672,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.24999999999999997,0.02034968005213028,0.005384615384615384,1300
validation,13,random_forest,smotenc_half_plus_weight,True,18073,1875,0.12609875087068975,0.8621146834603911,0.10344827586206896,0.42857142857142855,0.16666666666666663,0.26315789473684215,0.032718089259584374,0.005384615384615384,1300
validation,13,xgboost,baseline_class_weight,False,18073,1875,0.15302563064347457,0.8793503480278422,0.06976744186046512,0.42857142857142855,0.12,0.21126760563380284,0.043676450126969336,0.005384615384615384,1300
validation,13,xgboost,smotenc_full_no_weight,True,18073,1875,0.14863224223042426,0.8457628991271683,0.11538461538461539,0.42857142857142855,0.18181818181818182,0.2777777777777778,0.033305268446699746,0.005384615384615384,1300
validation,13,xgboost,smotenc_half_no_weight,True,18073,1875,0.2231817936866099,0.8309579052038448,0.2,0.2857142857142857,0.23529411764705882,0.26315789473684204,0.01719526737856375,0.005384615384615384,1300
validation,13,xgboost,smotenc_half_plus_weight,True,18073,1875,0.22635164704177346,0.8307369351452877,0.1111111111111111,0.42857142857142855,0.17647058823529413,0.2727272727272727,0.03447966112739262,0.005384615384615384,1300
holdout,holdout,random_forest,baseline_class_weight,False,20123,1908,0.42921049580689774,0.885283203125,0.39285714285714285,0.55,0.45833333333333337,0.5092592592592592,0.027333971824462882,0.015384615384615385,2600
holdout,holdout,random_forest,smotenc_full_no_weight,True,20123,1908,0.4023949857330204,0.8939062499999999,0.43137254901960786,0.55,0.4835164835164835,0.5213270142180096,0.02815473068267275,0.015384615384615385,2600
holdout,holdout,random_forest,smotenc_half_no_weight,True,20123,1908,0.42899880145196184,0.886787109375,0.5128205128205128,0.5,0.5063291139240506,0.5025125628140703,0.01872335089138701,0.015384615384615385,2600
holdout,holdout,random_forest,smotenc_half_plus_weight,True,20123,1908,0.4206780868573245,0.898017578125,0.4528301886792453,0.6,0.5161290322580645,0.5633802816901408,0.027447776900834383,0.015384615384615385,2600
holdout,holdout,xgboost,baseline_class_weight,False,20123,1908,0.42173104906109793,0.9069042968750001,0.32432432432432434,0.6,0.4210526315789474,0.5128205128205128,0.03497290726596356,0.015384615384615385,2600
holdout,holdout,xgboost,smotenc_full_no_weight,True,20123,1908,0.4114660138892046,0.91041015625,0.3684210526315789,0.525,0.4329896907216495,0.4838709677419355,0.027376141325659516,0.015384615384615385,2600
holdout,holdout,xgboost,smotenc_half_no_weight,True,20123,1908,0.41602961240697206,0.9074121093749999,0.4722222222222222,0.425,0.4473684210526316,0.4336734693877552,0.01703941476568575,0.015384615384615385,2600
holdout,holdout,xgboost,smotenc_half_plus_weight,True,20123,1908,0.41400652023003065,0.9104882812499999,0.3620689655172414,0.525,0.42857142857142855,0.481651376146789,0.028010776679275387,0.015384615384615385,2600
