architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
stacked_xgboost,9,validation,0.8204732660479446,0.9686501377410468,0.9476923076923077,0.582089552238806,0.8666666666666667,0.9537190082644628,0.6964285714285713,0.039757670925708255,0.38300767801242475,0.06923076923076923,1300,1300,False
logit_residual,9,validation,0.7800853582332545,0.8993572084481176,0.9669230769230769,0.8615384615384616,0.6222222222222222,0.9925619834710744,0.7225806451612903,0.03316727763684284,0.4852828355714932,0.06923076923076923,1300,1300,False
stage1_raw,10,validation,0.7173788769470382,0.9831635268486479,0.9545098039215686,0.4639175257731959,0.8823529411764706,0.9575163398692811,0.608108108108108,0.03766814789327841,0.019058648612541362,0.04,1275,1300,False
isotonic,10,validation,0.6899107979188428,0.9828271177752146,0.971764705882353,0.6415094339622641,0.6666666666666666,0.9844771241830066,0.6538461538461539,0.02015894874654075,0.47502737639216797,0.04,1275,1300,False
platt,10,validation,0.7173788769470382,0.9831635268486479,0.9701960784313726,0.6140350877192983,0.6862745098039216,0.9820261437908496,0.6481481481481481,0.02002652189163973,0.4784759924052153,0.04,1275,1300,True
stacked_xgboost,10,validation,0.7516161567745065,0.9806805074971165,0.9584313725490196,0.48936170212765956,0.9019607843137255,0.9607843137254902,0.6344827586206897,0.031326240139881736,0.18421249635724635,0.04,1275,1300,False
logit_residual,10,validation,0.6798106047294175,0.9660707420222991,0.9756862745098039,0.7083333333333334,0.6666666666666666,0.988562091503268,0.6868686868686869,0.02329302007864722,0.3934109354518953,0.04,1275,1300,False
stage1_raw,11,validation,0.3607253147770811,0.8634292049023834,0.9592156862745098,0.21739130434782608,0.38461538461538464,0.9711769415532426,0.27777777777777773,0.030655886494551258,-0.5346115502465016,0.0203921568627451,1275,1300,False
isotonic,11,validation,0.3354611285847245,0.8454147933731601,0.9772549019607844,0.42105263157894735,0.3076923076923077,0.9911929543634908,0.35555555555555557,0.019010303775472075,0.04835791479331808,0.0203921568627451,1275,1300,False
platt,11,validation,0.3607253147770811,0.8634292049023834,0.9756862745098039,0.38095238095238093,0.3076923076923077,0.9895916733386709,0.3404255319148936,0.018863879956685592,0.055687785471854045,0.0203921568627451,1275,1300,True
stacked_xgboost,11,validation,0.3498542142694785,0.786352158649997,0.9639215686274509,0.25,0.38461538461538464,0.9759807846277022,0.30303030303030304,0.028839806389466635,-0.4436998910475054,0.0203921568627451,1275,1300,False
logit_residual,11,validation,0.32569285607017795,0.5949374884523004,0.9803921568627451,0.5333333333333333,0.3076923076923077,0.9943955164131305,0.3902439024390244,0.01980087602858404,0.008782438444080665,0.0203921568627451,1275,1300,False
stage1_raw,12,validation,0.19384019528610405,0.9292093511951668,0.9882352941176471,0.2,0.5,0.9905437352245863,0.28571428571428575,0.020465630642457128,-3.369508906375673,0.004705882352941176,1275,1300,False
isotonic,12,validation,0.18056409639742974,0.9424087207775151,0.9921568627450981,0.16666666666666666,0.16666666666666666,0.996059889676911,0.16666666666666666,0.0056349883935387975,-0.20309666499166124,0.004705882352941176,1275,1300,False
platt,12,validation,0.19384019528610405,0.9292093511951668,0.9921568627450981,0.16666666666666666,0.16666666666666666,0.996059889676911,0.16666666666666666,0.005602306280735439,-0.19611887938278816,0.004705882352941176,1275,1300,True
stacked_xgboost,12,validation,0.2951582399986929,0.9662463882322039,0.9811764705882353,0.125,0.5,0.983451536643026,0.2,0.014407819761945408,-2.076137641254598,0.004705882352941176,1275,1300,False
logit_residual,12,validation,0.2419182035620392,0.8526398739164697,0.9937254901960785,0.25,0.16666666666666666,0.9976359338061466,0.2,0.005334910576188803,-0.13902863217979045,0.004705882352941176,1275,1300,False
stage1_raw,13,validation,0.1315227294136956,0.9015578389128274,0.9784615384615385,0.1111111111111111,0.42857142857142855,0.9814385150812065,0.17647058823529413,0.02764833219152355,-4.162488277944405,0.005384615384615384,1300,1300,False
isotonic,13,validation,0.1260585871428121,0.9005634736493205,0.9907692307692307,0.14285714285714285,0.14285714285714285,0.9953596287703016,0.14285714285714285,0.007165621250438738,-0.33796264647458507,0.005384615384615384,1300,1300,False
platt,13,validation,0.1315227294136956,0.9015578389128274,0.9915384615384616,0.16666666666666666,0.14285714285714285,0.9961330239752514,0.15384615384615383,0.007070853153023858,-0.32026757580491894,0.005384615384615384,1300,1300,True
stacked_xgboost,13,validation,0.0928135885989238,0.883659264169705,0.9769230769230769,0.10344827586206896,0.42857142857142855,0.979891724671307,0.16666666666666663,0.019895930927831148,-2.7149622437338023,0.005384615384615384,1300,1300,False
logit_residual,13,validation,0.15190845531949315,0.8139432106949508,0.9946153846153846,0.5,0.14285714285714285,0.9992266047950503,0.22222222222222224,0.005386691470746913,-0.005801412613223311,0.005384615384615384,1300,1300,False
isotonic,validation_aggregate,validation,0.4235569133426797,0.9104654802067842,0.9700904977375565,0.5101530771633864,0.2294044665012407,0.9916656595716824,0.33162393162393167,0.022681748554944665,0.23049115544973375,0.035686274509803925,15500,15600,False
logit_residual,validation_aggregate,validation,0.32526545407147966,0.8332915423057102,0.9701282051282052,0.5404761904761906,0.20460526315789473,0.9934787499421025,0.28418803418803423,0.029235506247486748,-0.01455119017803741,0.035686274509803925,15500,15600,False
platt,validation_aggregate,validation,0.4502225665558247,0.9106294333150248,0.9700980392156863,0.4920634920634921,0.2990074441687345,0.9903423953737889,0.34615384615384615,0.022430836753965202,0.24367745814450503,0.035686274509803925,15500,15600,True
stacked_xgboost,validation_aggregate,validation,0.3243011796367792,0.8717642318979948,0.9549019607843137,0.29166666666666663,0.4642857142857143,0.9663967611336033,0.29681429681429683,0.03537747980877392,-0.20413133200337208,0.035686274509803925,15500,15600,False
stage1_raw,validation_aggregate,validation,0.4502225665558247,0.9106294333150248,0.9526244343891402,0.34226677577741405,0.6379652605459056,0.9589201132544787,0.4442221558674231,0.0446233039866689,-0.5052373249658618,0.035686274509803925,15500,15600,False
stage1_raw,holdout,holdout,0.4622950224370251,0.9048535156249999,0.9803846153846154,0.4,0.55,0.987109375,0.46315789473684216,0.022900273987561923,-0.5117758999601425,0.015384615384615385,2600,2600,False
isotonic,holdout,holdout,0.4275728570164014,0.8963525390624999,0.9861538461538462,0.6,0.3,0.996875,0.4,0.01084423276986445,0.28411119605191726,0.015384615384615385,2600,2600,False
platt,holdout,holdout,0.4622950224370251,0.9048535156249999,0.9861538461538462,0.6,0.3,0.996875,0.4,0.010932505533344836,0.2782838144002824,0.015384615384615385,2600,2600,True
stacked_xgboost,holdout,holdout,0.42429534905103816,0.89818359375,0.9769230769230769,0.35294117647058826,0.6,0.9828125,0.4444444444444445,0.018497123284554023,-0.22109915433188654,0.015384615384615385,2600,2600,False
logit_residual,holdout,holdout,0.3428560388507651,0.8100781250000001,0.9857692307692307,0.5789473684210527,0.275,0.996875,0.37288135593220345,0.01416488784017454,0.0648960761759777,0.015384615384615385,2600,2600,False
