District,n_rows,n_defined,outbreak_pct,candidate,parameter,k,pooled_outbreak_pct,pooled_n_defined,pooled_n_undefined,pooled_pct_undefined
Kegalle,1018.0,862.0,10.324825986078887,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Kilinochchi,1018.0,861.0,17.53774680603949,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Kurunegala,1018.0,862.0,9.860788863109049,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Mannar,1018.0,862.0,11.48491879350348,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Matale,1018.0,862.0,8.584686774941995,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Matara,1018.0,862.0,13.68909512761021,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Monaragala,1018.0,862.0,14.269141531322504,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Mullaitivu,1018.0,861.0,15.33101045296167,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Nuwara Eliya,1018.0,862.0,9.280742459396752,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Polonnaruwa,1018.0,862.0,11.48491879350348,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Puttalam,1018.0,862.0,11.020881670533642,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Ratnapura,1018.0,862.0,14.269141531322504,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Trincomalee,1018.0,862.0,15.19721577726218,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Vavuniya,1018.0,862.0,9.396751740139212,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Ampara,1018.0,864.0,16.78240740740741,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Anuradhapura,1018.0,864.0,12.5,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Badulla,1018.0,864.0,22.685185185185187,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Batticaloa,1018.0,864.0,21.296296296296298,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Colombo,1018.0,864.0,26.851851851851855,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Galle,1018.0,864.0,28.587962962962965,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Gampaha,1018.0,864.0,20.60185185185185,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Hambantota,1018.0,864.0,20.25462962962963,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Jaffna,1018.0,864.0,26.15740740740741,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Kalutara,1018.0,864.0,26.96759259259259,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Kandy,1018.0,864.0,20.60185185185185,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Kegalle,1018.0,864.0,16.087962962962962,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Kilinochchi,1018.0,863.0,22.595596755504054,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Kurunegala,1018.0,864.0,16.435185185185187,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Mannar,1018.0,864.0,13.425925925925927,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Matale,1018.0,864.0,14.23611111111111,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Matara,1018.0,864.0,18.40277777777778,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
Monaragala,1018.0,864.0,18.40277777777778,windowed,3,1.5,19.645337531252892,21598,3852,15.135559921414538
