threshold,precision,recall,f1,f2,f0_5,accuracy
0.5,0.7056910569105691,0.37317282889079967,0.4881889763779528,0.41199924055439524,0.5989511454595638,0.9412903225806452
0.51,0.7186963979416809,0.36027515047291486,0.4799541809851088,0.4001910219675263,0.5994277539341917,0.9414193548387096
0.52,0.7211703958691911,0.36027515047291486,0.4805045871559632,0.4003439709535639,0.6008029825064526,0.9415483870967742
0.53,0.7229965156794426,0.35683576956147894,0.4778353483016696,0.39705319556065827,0.5998843596415149,0.9414838709677419
0.54,0.7523992322456814,0.33705932932072225,0.46555819477434673,0.37889039242219213,0.6036341238065907,0.9419354838709677
0.55,0.7523992322456814,0.33705932932072225,0.46555819477434673,0.37889039242219213,0.6036341238065907,0.9419354838709677
0.56,0.7707509881422925,0.3353396388650043,0.4673457159976034,0.3780535091120589,0.6118606840288672,0.9426451612903226
0.5700000000000001,0.7707509881422925,0.3353396388650043,0.4673457159976034,0.3780535091120589,0.6118606840288672,0.9426451612903226
0.5800000000000001,0.7921810699588477,0.3310404127257094,0.4669496664645239,0.37465940054495916,0.6195687158030254,0.9432903225806452
0.59,0.7950310559006211,0.3301805674978504,0.4665856622114216,0.373904576436222,0.6203554119547657,0.9433548387096774
0.6,0.7962577962577962,0.32932072226999143,0.4659367396593674,0.37307617377751806,0.6203433754454163,0.9433548387096774
0.61,0.798728813559322,0.3241616509028375,0.46116207951070337,0.36787665886026544,0.6178302196001311,0.9431612903225807
0.62,0.8325892857142857,0.3207222699914015,0.4630664183736809,0.3656862745098039,0.6311336717428089,0.9441935483870968
0.63,0.8318385650224215,0.31900257953568356,0.46115599751398384,0.36386818360141227,0.6294536817102137,0.9440645161290323
0.64,0.8333333333333334,0.3181427343078246,0.4604853764779092,0.36302982731554156,0.6294658046954746,0.9440645161290323
0.65,0.8363636363636363,0.3164230438521066,0.4591391141609482,0.3613511390416339,0.6294902497434143,0.9440645161290323
