District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2013,48,2013-11-23,2013-11-29,1,17.6,17.6,80.28571428571429,97.28571428571428,60.285714285714285,29.842857142857145,21.928571428571427,29.385714285714283,34.05714285714286,25.785714285714285,25.5,3.0,172131,interpolated,104.0
Vavuniya,2013,49,2013-11-30,2013-12-06,0,86.2,86.2,91.0,96.14285714285714,81.28571428571429,26.514285714285712,22.785714285714285,27.8,30.357142857142858,26.2,24.142857142857142,61.0,172131,interpolated,104.0
Vavuniya,2013,50,2013-12-07,2013-12-13,0,3.4,3.4,80.42857142857143,95.14285714285714,63.285714285714285,28.885714285714283,22.0,28.52857142857143,32.48571428571428,25.4,25.1,3.0,172131,interpolated,104.0
Vavuniya,2013,51,2013-12-14,2013-12-20,3,11.3,11.3,80.14285714285714,90.14285714285714,67.28571428571429,27.1,22.32857142857143,26.9,29.24285714285714,25.24285714285714,24.32857142857143,3.0,172131,interpolated,104.0
Vavuniya,2013,52,2013-12-21,2013-12-27,1,1.3,1.3,75.28571428571429,88.42857142857143,60.142857142857146,27.61428571428572,22.385714285714283,26.428571428571427,28.842857142857145,24.65714285714285,24.557142857142857,3.0,172131,interpolated,104.0
Vavuniya,2014,1,2013-12-28,2014-01-03,1,7.6,7.6,74.57142857142857,86.57142857142857,59.0,27.585714285714285,21.61428571428572,26.0,28.857142857142858,23.928571428571427,24.24285714285714,3.0,172148,interpolated,104.0
Vavuniya,2014,2,2014-01-04,2014-01-10,1,79.0,79.0,89.28571428571429,95.42857142857144,78.28571428571429,26.057142857142857,21.82857142857143,26.414285714285715,29.5,24.542857142857144,23.442857142857143,63.0,172148,interpolated,104.0
Vavuniya,2014,3,2014-01-11,2014-01-17,2,81.3,81.3,85.28571428571429,94.42857142857144,72.42857142857143,26.785714285714285,21.685714285714287,26.842857142857145,29.942857142857143,24.61428571428572,23.857142857142858,3.0,172148,interpolated,104.0
Vavuniya,2014,4,2014-01-18,2014-01-24,0,6.0,6.0,81.57142857142857,93.14285714285714,66.0,27.3,21.314285714285717,26.37142857142857,29.77142857142857,24.014285714285712,23.942857142857143,51.0,172148,interpolated,104.0
Vavuniya,2014,5,2014-01-25,2014-01-31,0,7.5,7.5,78.42857142857143,90.28571428571428,63.142857142857146,27.385714285714283,21.542857142857144,26.32857142857143,29.7,24.185714285714287,24.11428571428572,51.0,172148,interpolated,104.0
