District,Year,Week,Number_of_Cases,Risk,Residual_final,n_iterations,converged
Mullaitivu,2022,11,0,3.2275167084003678,-3.2275167084003678,1,False
Mullaitivu,2022,12,2,3.119470807427983,-1.1194708074279829,1,False
Mullaitivu,2022,13,0,2.8332109912457195,-2.8332109912457195,1,False
Mullaitivu,2022,14,3,3.3073399706386297,-0.3073399706386297,1,False
Mullaitivu,2022,15,0,1.6366513900251114,-1.6366513900251114,1,False
Mullaitivu,2022,16,2,3.864875883312884,-1.8648758833128838,1,False
Mullaitivu,2022,17,3,1.2645542020628948,1.7354457979371052,1,False
Mullaitivu,2022,18,0,4.120712675439819,-4.120712675439819,1,False
Mullaitivu,2022,19,0,3.570298003300879,-3.570298003300879,1,False
Mullaitivu,2022,20,1,0.08148200042906772,0.9185179995709323,1,False
Mullaitivu,2022,21,1,1.0678621498422638,-0.0678621498422638,1,False
Mullaitivu,2022,22,1,1.738092272908307,-0.738092272908307,1,False
Mullaitivu,2022,23,1,1.412710153338516,-0.412710153338516,1,False
Mullaitivu,2022,24,1,5.581911283752172,-4.581911283752172,1,False
Mullaitivu,2022,25,4,5.247922107160094,-1.247922107160094,1,False
Mullaitivu,2022,26,0,2.4289291751625526,-2.4289291751625526,1,False
Mullaitivu,2022,27,0,3.082176334533005,-3.082176334533005,1,False
Mullaitivu,2022,28,1,0.6197028187448752,0.3802971812551248,1,False
Mullaitivu,2022,29,1,1.5666712523747828,-0.5666712523747828,1,False
Mullaitivu,2022,30,1,3.031882457850883,-2.031882457850883,1,False
Mullaitivu,2022,31,0,1.3632419031923875,-1.3632419031923875,1,False
Mullaitivu,2022,32,0,1.0344436192022353,-1.0344436192022353,1,False
Mullaitivu,2022,33,0,0.9344354433528768,-0.9344354433528768,1,False
Mullaitivu,2022,34,1,0.6265634349818932,0.37343656501810685,1,False
Mullaitivu,2022,35,1,0.24836730626717252,0.7516326937328275,1,False
Mullaitivu,2022,36,0,0.7165361752068757,-0.7165361752068757,1,False
Mullaitivu,2022,37,0,0.0,0.0,1,False
Mullaitivu,2022,38,1,3.0245599653754924,-2.0245599653754924,1,False
Mullaitivu,2022,39,0,3.155751950268654,-3.155751950268654,1,False
Mullaitivu,2022,40,1,2.347350443662008,-1.347350443662008,1,False
Mullaitivu,2022,41,0,2.2688026771768817,-2.2688026771768817,1,False
Mullaitivu,2022,42,0,1.3723013372808595,-1.3723013372808595,1,False
Mullaitivu,2022,44,0,1.1349538987480026,-1.1349538987480026,1,False
Mullaitivu,2022,45,0,0.6525350459291799,-0.6525350459291799,1,False
Mullaitivu,2022,46,2,0.9946285163798079,1.0053714836201921,1,False
Mullaitivu,2022,47,0,1.402857220738083,-1.402857220738083,1,False
Mullaitivu,2022,48,1,0.6700252364288906,0.32997476357110944,1,False
Mullaitivu,2022,49,1,0.6546387085625645,0.34536129143743555,1,False
Mullaitivu,2022,50,0,0.8327515268412466,-0.8327515268412466,1,False
Mullaitivu,2022,51,1,1.3252892809684234,-0.32528928096842336,1,False
Mullaitivu,2022,52,4,2.4654065922709334,1.5345934077290666,1,False
Mullaitivu,2023,1,0,5.83976200267033,-5.83976200267033,1,False
Mullaitivu,2023,2,2,8.30645419110775,-6.3064541911077505,1,False
Mullaitivu,2023,3,1,3.789590694696466,-2.789590694696466,1,False
Mullaitivu,2023,4,1,1.630611578041476,-0.630611578041476,1,False
Mullaitivu,2023,5,1,1.5525052715848426,-0.5525052715848426,1,False
Mullaitivu,2023,6,0,1.0408814986678685,-1.0408814986678685,1,False
Mullaitivu,2023,7,0,1.454826418138265,-1.454826418138265,1,False
Mullaitivu,2023,8,3,0.5531272908924594,2.4468727091075406,1,False
Mullaitivu,2023,9,0,2.726984001007554,-2.726984001007554,1,False
Mullaitivu,2023,10,2,3.711640890602016,-1.7116408906020162,1,False
Mullaitivu,2023,11,1,2.6914454182691703,-1.6914454182691703,1,False
Mullaitivu,2023,12,1,3.1095312826813846,-2.1095312826813846,1,False
Mullaitivu,2023,13,0,2.4729013312963124,-2.4729013312963124,1,False
Mullaitivu,2023,14,3,2.044060558498778,0.9559394415012221,1,False
Mullaitivu,2023,15,1,1.7967139267999332,-0.7967139267999332,1,False
Mullaitivu,2023,16,4,4.439084159293304,-0.43908415929330413,1,False
Mullaitivu,2023,17,6,3.9567770871331565,2.0432229128668435,1,False
Mullaitivu,2023,18,1,3.913702508514941,-2.913702508514941,1,False
Mullaitivu,2023,19,2,4.173361893816068,-2.173361893816068,1,False
Mullaitivu,2023,20,3,4.434563719158489,-1.434563719158489,1,False
Mullaitivu,2023,21,1,4.917249979529325,-3.917249979529325,1,False
Mullaitivu,2023,22,11,5.387509938109767,5.612490061890233,1,False
Mullaitivu,2023,23,4,6.457287830833738,-2.457287830833738,1,False
Mullaitivu,2023,24,6,6.52284076896007,-0.5228407689600703,1,False
Mullaitivu,2023,25,10,5.861113050770318,4.138886949229682,1,False
Mullaitivu,2023,26,4,5.4989198982397305,-1.4989198982397305,1,False
Mullaitivu,2023,27,2,3.759547011948624,-1.7595470119486238,1,False
Mullaitivu,2023,28,11,5.589664769108292,5.410335230891708,1,False
Mullaitivu,2023,29,2,4.149768346618298,-2.1497683466182984,1,False
Mullaitivu,2023,30,1,4.527858268011977,-3.527858268011977,1,False
Mullaitivu,2023,31,0,3.0138786961250426,-3.0138786961250426,1,False
Mullaitivu,2023,32,4,3.266708394399586,0.7332916056004142,1,False
Mullaitivu,2023,33,0,1.3641971148416379,-1.3641971148416379,1,False
Mullaitivu,2023,34,1,2.484247781300574,-1.4842477813005739,1,False
Mullaitivu,2023,35,3,1.4658282417846897,1.5341717582153103,1,False
Mullaitivu,2023,36,1,1.6145570191692413,-0.6145570191692413,1,False
Mullaitivu,2023,37,1,2.088882032838647,-1.0888820328386468,1,False
Mullaitivu,2023,38,0,1.849349625843982,-1.849349625843982,1,False
Mullaitivu,2023,39,1,1.7407918121850365,-0.7407918121850365,1,False
Mullaitivu,2023,40,0,1.5552302175483836,-1.5552302175483836,1,False
Mullaitivu,2023,41,3,1.2755739248952214,1.7244260751047786,1,False
Mullaitivu,2023,42,2,2.408542334559573,-0.4085423345595731,1,False
Mullaitivu,2023,43,2,3.3857153765840007,-1.3857153765840007,1,False
Mullaitivu,2023,44,1,3.966996261428389,-2.966996261428389,1,False
Mullaitivu,2023,45,0,2.0506131083941095,-2.0506131083941095,1,False
Mullaitivu,2023,46,0,2.9065743535706705,-2.9065743535706705,1,False
Mullaitivu,2023,47,0,2.498855004375539,-2.498855004375539,1,False
Mullaitivu,2023,48,3,3.0765212936461843,-0.07652129364618432,1,False
Mullaitivu,2023,49,1,6.213999003209093,-5.213999003209093,1,False
Mullaitivu,2023,50,4,8.581936938098906,-4.581936938098906,1,False
Mullaitivu,2023,51,13,16.478036961622813,-3.478036961622813,1,False
Mullaitivu,2023,52,24,19.924256293602596,4.075743706397404,1,False
Mullaitivu,2024,1,25,23.43350444932271,1.5664955506772884,1,False
